id,product_title,product_description,filename,format,mode,resolution,filesize,retrieved
209650955,Триммер садовый электрический для травы, Артикул 209650955 Модель беспроводной; аккумуляторный; ручной Тип аккумулятора Li-Ion Емкость аккумулятора 1500 мА*ч Время работы от аккумулятора 120 минут,res/img/209650955.png,PNG,RGBA,"(246, 328)",171.35,1711019404.299254
209650955,Триммер садовый электрический для травы, Артикул 209650955 Модель беспроводной; аккумуляторный; ручной Тип аккумулятора Li-Ion Емкость аккумулятора 1500 мА*ч Время работы от аккумулятора 120 минут,res/img/209650955.png,PNG,RGBA,"(246, 328)",171.35,1711019608.5871072
77278318,Триммер аккумуляторный садовый дачный кусторез, Артикул 77278318 Модель разборная модель Питание Аккумулятор (в комплекте) Тип двигателя электрический Комплектация Инструкция на русском языке; зарядное устройство -1шт; Лезвия - 2шт; Триммер садовый - 1шт,res/img/77278318.png,PNG,RGBA,"(246, 328)",160.0,1711019624.241293
18565737,"Триммер аккумуляторный ZITREK GreenCut 20 (20В, акб 2шт)", Артикул 18565737 Модель GreenCut 20 Гарантийный срок 1 год Тип аккумулятора Li-lon Емкость аккумулятора 1500 мА*ч,res/img/18565737.png,PNG,RGBA,"(246, 328)",17.67,1711019638.767094
113066515,Триммер аккумуляторный садовый дачный кусторез, Артикул 113066515 Модель разборная модель Питание Аккумулятор (в комплекте) Тип двигателя электрический Комплектация Инструкция на русском языке; зарядное устройство -1шт; Лезвия - 2шт; Триммер садовый - 1шт,res/img/113066515.png,PNG,RGBA,"(246, 328)",128.9,1711019653.620366
151530782,Триммер-газонокосилка аккумуляторный ZITREK GreenCut 20 Pro, Артикул 151530782 Модель GreenCut 20 Pro Гарантийный срок 1 год Тип аккумулятора Li-Ion Емкость аккумулятора 1.5 ма*ч; 1.5,res/img/151530782.png,PNG,RGBA,"(246, 328)",128.13,1711019667.381707
164885226,Триммер для травы аккумуляторный садовый ручной мощный, Артикул 164885226 Количество аккумуляторов в комплекте 2 Страна производства Китай Длина предмета 125 см Длина упаковки 16 см Высота упаковки 89 см Ширина упаковки 11 см,res/img/164885226.png,PNG,RGBA,"(246, 328)",121.28,1711019683.2849832
208141196,Триммер садовый, Артикул 208141196 Гарантийный срок 1 год Тип аккумулятора Li-Ion Емкость аккумулятора 2000 мА*ч Время работы от аккумулятора 60 мин Количество аккумуляторов в комплекте 1 шт. Питание от аккумулятора,res/img/208141196.png,PNG,RGBA,"(246, 328)",146.2,1711019699.75582
209650955,Триммер садовый электрический для травы, Артикул 209650955 Модель беспроводной; аккумуляторный; ручной Тип аккумулятора Li-Ion Емкость аккумулятора 1500 мА*ч Время работы от аккумулятора 120 минут,res/img/209650955.png,PNG,RGBA,"(246, 328)",171.35,1711019848.242364
209650955,Триммер садовый электрический для травы, Артикул 209650955 Модель беспроводной; аккумуляторный; ручной Тип аккумулятора Li-Ion Емкость аккумулятора 1500 мА*ч Время работы от аккумулятора 120 минут,res/img/209650955.png,PNG,RGBA,"(246, 328)",171.35,1711019936.7253451
